Subjectivity,Word,Sentiment,Polarity
weaksubj,affably,n,positive
weaksubj,affect,y,neutral
weaksubj,affectation,n,negative
strongsubj,affected,n,neutral
strongsubj,affection,n,positive
strongsubj,affection,n,positive
strongsubj,affectionate,n,positive
weaksubj,affinity,n,positive
strongsubj,affirm,y,positive
strongsubj,affirmation,n,positive
strongsubj,affirmation,n,positive
weaksubj,affirmative,n,positive
weaksubj,afflict,y,negative
weaksubj,affliction,n,negative
strongsubj,afflictive,n,negative
weaksubj,affluent,n,positive
weaksubj,affluence,n,positive
weaksubj,afford,y,positive
weaksubj,affordable,n,positive
strongsubj,affront,n,negative
strongsubj,affront,y,negative
weaksubj,afloat,n,positive
strongsubj,afraid,n,negative
weaksubj,against,n,negative
strongsubj,aggravate,y,negative
strongsubj,aggravating,n,negative
strongsubj,aggravation,n,negative
strongsubj,aggression,n,negative
strongsubj,aggression,n,negative
strongsubj,aggressive,y,negative
strongsubj,aggressiveness,n,negative
strongsubj,aggressor,n,negative
strongsubj,aggrieve,y,negative
strongsubj,aggrieved,n,negative
strongsubj,aghast,n,negative
weaksubj,agile,n,positive
weaksubj,agilely,n,positive
weaksubj,agility,n,positive
strongsubj,agitate,y,negative
strongsubj,agitated,n,negative
strongsubj,agitation,n,negative
strongsubj,agitator,n,negative
strongsubj,agonies,n,negative
strongsubj,agonize,y,negative
strongsubj,agonizing,n,negative
strongsubj,agonizing,y,negative
strongsubj,agonizingly,n,negative
strongsubj,agony,n,negative
strongsubj,agree,y,positive
strongsubj,agreeability,y,positive
weaksubj,agreeable,n,positive
strongsubj,agreeable,y,positive
strongsubj,agreeableness,y,positive
strongsubj,agreeably,y,positive
weaksubj,agreement,n,positive
weaksubj,agreement,n,positive
strongsubj,aha,y,neutral
weaksubj,ail,n,negative
weaksubj,ail,y,negative
weaksubj,ailment,n,negative
strongsubj,aimless,n,negative
strongsubj,air,y,neutral
weaksubj,airs,n,negative
weaksubj,airs,n,negative
weaksubj,alarm,n,negative
weaksubj,alarm,y,negative
strongsubj,alarmed,n,negative
strongsubj,alarming,n,negative
strongsubj,alarmingly,n,negative
strongsubj,alas,y,negative
weaksubj,alert,n,neutral
weaksubj,alienate,y,negative
weaksubj,alienated,n,negative
weaksubj,alienation,n,negative
weaksubj,all-time,n,neutral
weaksubj,all-time,n,neutral
strongsubj,allay,y,positive
strongsubj,allegation,n,negative
strongsubj,allegations,n,negative
weaksubj,allege,n,negative
strongsubj,allegations,n,negative
strongsubj,allegorize,y,neutral
weaksubj,allergic,n,negative
weaksubj,alleviate,y,positive
strongsubj,alliance,n,neutral
strongsubj,alliances,n,neutral
strongsubj,alliances,n,neutral
weaksubj,allow,y,positive
weaksubj,allowable,n,positive
strongsubj,allure,y,positive
strongsubj,allure,n,positive
strongsubj,alluring,n,positive
strongsubj,alluringly,n,positive
strongsubj,allusion,n,neutral
strongsubj,allusion,n,neutral
strongsubj,allusions,n,neutral
strongsubj,ally,y,positive
strongsubj,almighty,n,positive
strongsubj,aloof,n,negative
weaksubj,altercation,n,negative
weaksubj,although,y,negative
strongsubj,altogether,n,neutral
strongsubj,altruist,n,positive
strongsubj,altruistic,n,positive
strongsubj,altruistically,n,positive
strongsubj,amaze,y,positive
strongsubj,amazed,n,positive
strongsubj,amazement,n,positive
strongsubj,amazing,n,positive
strongsubj,amazing,y,positive
strongsubj,amazingly,n,positive
strongsubj,ambiguous,n,negative
strongsubj,ambiguity,n,negative
weaksubj,ambitious,n,positive
weaksubj,ambitious,n,positive
weaksubj,ambitiously,y,positive
strongsubj,ambivalence,y,negative
strongsubj,ambivalent,n,negative
strongsubj,ambivalent,n,negative
weaksubj,ambush,n,negative
weaksubj,ambush,y,negative
strongsubj,ameliorate,y,positive
strongsubj,amenable,n,positive
weaksubj,amenity,n,positive
strongsubj,amiability,n,positive
strongsubj,amiabily,n,positive
strongsubj,amiable,n,positive
strongsubj,amicability,n,positive
strongsubj,amicable,n,positive
strongsubj,amicably,n,positive
strongsubj,amiss,n,negative
weaksubj,amity,n,positive
weaksubj,amity,n,positive
weaksubj,amnesty,n,positive
strongsubj,amour,n,positive
weaksubj,ample,n,positive
weaksubj,amply,n,positive
weaksubj,amplify,y,neutral
weaksubj,amputate,y,negative
strongsubj,amuse,y,positive
strongsubj,amusement,n,positive
strongsubj,amusement,n,positive
strongsubj,amusing,n,positive
strongsubj,amusing,y,positive
strongsubj,amusingly,y,positive
weaksubj,analytical,n,neutral
strongsubj,anarchism,n,negative
strongsubj,anarchist,n,negative
strongsubj,anarchistic,n,negative
strongsubj,anarchy,n,negative
weaksubj,anemic,n,negative
weaksubj,angel,n,positive
strongsubj,angelic,n,positive
strongsubj,anger,n,negative
strongsubj,anger,n,negative
strongsubj,anger,y,negative
strongsubj,angrily,y,negative
strongsubj,angriness,y,negative
strongsubj,angry,n,negative
strongsubj,anguish,n,negative
strongsubj,anguish,y,negative
strongsubj,annihilate,y,negative
strongsubj,annihilation,n,negative
weaksubj,animated,n,positive
strongsubj,animosity,n,negative
strongsubj,annoy,y,negative
strongsubj,annoyance,n,negative
strongsubj,annoyed,n,negative
strongsubj,annoying,n,negative
strongsubj,annoying,y,negative
strongsubj,annoyingly,n,negative
weaksubj,anomalous,n,negative
weaksubj,anomaly,n,negative
strongsubj,antagonism,n,negative
weaksubj,antagonist,n,negative
strongsubj,antagonistic,n,negative
strongsubj,antagonize,y,negative
strongsubj,anti-,n,negative
strongsubj,anti-American,n,negative
strongsubj,anti-American,n,negative
strongsubj,anti-Israeli,n,negative
strongsubj,anti-Israeli,n,negative
strongsubj,anti-Semites,n,negative
strongsubj,anti-Semites,n,negative
strongsubj,anti-US,n,negative
strongsubj,anti-US,n,negative
strongsubj,anti-occupation,n,negative
strongsubj,anti-occupation,n,negative
strongsubj,anti-proliferation,n,negative
strongsubj,anti-proliferation,n,negative
strongsubj,anti-social,n,negative
strongsubj,anti-white,n,negative
strongsubj,anti-white,n,negative
strongsubj,antipathy,n,negative
strongsubj,antiquated,n,negative
strongsubj,antithetical,n,negative
strongsubj,antithetical,n,negative
strongsubj,anxieties,n,negative
strongsubj,anxiety,n,negative
strongsubj,anxious,n,negative
strongsubj,anxiously,n,negative
strongsubj,anxiousness,n,negative
strongsubj,anyhow,y,neutral
strongsubj,anyway,y,neutral
strongsubj,anyways,y,neutral
strongsubj,apathetic,n,negative
strongsubj,apathetic,n,negative
strongsubj,apathetically,n,negative
strongsubj,apathy,n,negative
strongsubj,ape,y,negative
strongsubj,apocalypse,n,negative
strongsubj,apocalyptic,n,negative
strongsubj,apologist,n,negative
strongsubj,apologist,n,negative
strongsubj,apologists,n,negative
strongsubj,apologists,n,negative
strongsubj,apostle,n,positive
strongsubj,apostle,n,positive
strongsubj,apotheosis,n,positive
strongsubj,apotheosis,n,positive
strongsubj,appal,y,negative
strongsubj,appall,n,negative
strongsubj,appall,y,negative
strongsubj,appall,y,negative
strongsubj,appalled,n,negative
strongsubj,appalling,n,negative
strongsubj,appallingly,n,negative
weaksubj,apparent,y,neutral
weaksubj,apparently,y,neutral
weaksubj,appeal,n,positive
weaksubj,appeal,n,positive
weaksubj,appeal,y,positive
strongsubj,appealing,n,positive
weaksubj,appear,y,neutral
weaksubj,appearance,n,neutral
weaksubj,appearance,n,neutral
weaksubj,appease,y,positive
strongsubj,applaud,y,positive
weaksubj,appreciable,n,positive
strongsubj,appreciate,y,positive
strongsubj,appreciation,n,positive
strongsubj,appreciation,n,positive
strongsubj,appreciative,n,positive
strongsubj,appreciatively,y,positive
strongsubj,appreciativeness,y,positive
weaksubj,apprehend,y,neutral
strongsubj,apprehension,n,negative
strongsubj,apprehensions,n,negative
strongsubj,apprehensions,n,negative
strongsubj,apprehensive,n,negative
strongsubj,apprehensive,n,negative
strongsubj,apprehensively,y,negative
weaksubj,appropriate,n,positive
weaksubj,approval,n,positive
weaksubj,approve,y,positive
weaksubj,apt,n,positive
weaksubj,aptly,n,positive
weaksubj,aptitude,n,positive
strongsubj,arbitrary,n,negative
strongsubj,arcane,n,negative
strongsubj,archaic,n,negative
strongsubj,ardent,n,positive
strongsubj,ardently,n,positive
strongsubj,ardor,n,positive
strongsubj,arduous,n,negative
strongsubj,arduously,n,negative
weaksubj,aristocratic,n,positive
strongsubj,argue,y,negative
weaksubj,argument,n,negative
weaksubj,argument,n,negative
strongsubj,argumentative,y,negative
weaksubj,arguments,n,negative
weaksubj,arguments,n,negative
strongsubj,arousal,y,positive
strongsubj,arouse,y,positive
strongsubj,arousing,y,positive
strongsubj,arresting,n,positive
strongsubj,arrogance,n,negative
strongsubj,arrogant,n,negative
strongsubj,arrogant,y,negative
strongsubj,arrogantly,n,negative
strongsubj,arrogantly,y,negative
strongsubj,articulate,n,positive
weaksubj,artificial,n,negative
strongsubj,ascendant,n,positive
strongsubj,ascendant,n,positive
strongsubj,ascertainable,n,positive
strongsubj,ascertainable,n,positive
strongsubj,ashamed,n,negative
strongsubj,asinine,n,negative
strongsubj,asininely,n,negative
strongsubj,asinininity,n,negative
strongsubj,askance,n,negative
strongsubj,asperse,y,negative
strongsubj,aspersion,n,negative
strongsubj,aspersions,n,negative
strongsubj,aspiration,n,positive
strongsubj,aspirations,n,positive
strongsubj,aspirations,n,positive
strongsubj,aspire,y,positive
weaksubj,assail,y,negative
weaksubj,assassinate,y,negative
strongsubj,assassin,n,negative
weaksubj,assault,n,negative
weaksubj,assault,n,negative
strongsubj,assent,y,positive
strongsubj,assertions,n,positive
strongsubj,assertions,n,positive
weaksubj,assertive,n,positive
strongsubj,assess,y,neutral
weaksubj,assessment,n,neutral
weaksubj,assessment,n,neutral
weaksubj,assessments,n,neutral
weaksubj,assessments,n,neutral
weaksubj,asset,n,positive
strongsubj,assiduous,n,positive
strongsubj,assiduously,n,positive
weaksubj,assuage,y,positive
weaksubj,assumption,n,neutral
weaksubj,assumption,n,neutral
weaksubj,assurance,n,positive
weaksubj,assurance,n,positive
weaksubj,assurances,n,positive
weaksubj,assurances,n,positive
strongsubj,assure,y,positive
strongsubj,assuredly,n,positive
strongsubj,astonish,y,positive
strongsubj,astonished,n,positive
strongsubj,astonishing,n,positive
strongsubj,astonishing,y,positive
strongsubj,astonishingly,n,positive
strongsubj,astonishment,n,positive
strongsubj,astound,y,positive
strongsubj,astounded,n,positive
strongsubj,astounding,n,positive
strongsubj,astounding,n,positive
strongsubj,astounding,y,positive
strongsubj,astoundingly,n,positive
weaksubj,astray,n,negative
strongsubj,astronomic,n,neutral
strongsubj,astronomical,n,neutral
strongsubj,astronomically,n,neutral
strongsubj,astute,n,positive
strongsubj,astutely,n,positive
strongsubj,asunder,n,negative
weaksubj,asylum,n,positive
weaksubj,asylum,n,positive
strongsubj,atrocious,n,negative
strongsubj,atrocities,n,negative
strongsubj,atrocity,n,negative
strongsubj,atrophy,y,negative
weaksubj,attack,n,negative
weaksubj,attack,y,negative
weaksubj,attain,y,positive
weaksubj,attainable,n,positive
strongsubj,attentive,n,positive
strongsubj,attest,y,positive
strongsubj,attitude,n,neutral
strongsubj,attitude,n,neutral
weaksubj,attitudes,n,neutral
weaksubj,attitudes,n,neutral
strongsubj,attraction,n,positive
strongsubj,attraction,n,positive
strongsubj,attractive,n,positive
strongsubj,attractive,n,positive
strongsubj,attractively,y,positive
weaksubj,attune,n,positive
strongsubj,audacious,n,negative
strongsubj,audaciously,n,negative
strongsubj,audaciousness,n,negative
strongsubj,audacity,n,negative
strongsubj,auspicious,n,positive
strongsubj,austere,n,negative
weaksubj,authentic,n,positive
weaksubj,authoritarian,n,negative
weaksubj,authoritative,n,positive
strongsubj,autocrat,n,negative
strongsubj,autocratic,n,negative
weaksubj,award,n,positive
weaksubj,award,y,positive
strongsubj,awareness,n,neutral
strongsubj,aware,n,neutral
strongsubj,autocratic,n,negative
strongsubj,autocratic,n,negative
weaksubj,autonomous,n,positive
strongsubj,avalanche,n,negative
strongsubj,avalanche,n,negative
strongsubj,avarice,n,negative
strongsubj,avaricious,n,negative
strongsubj,avariciously,n,negative
strongsubj,avenge,y,negative
strongsubj,aver,y,positive
strongsubj,averse,n,negative
strongsubj,aversion,n,negative
strongsubj,avid,n,positive
strongsubj,avidly,n,positive
weaksubj,avoid,y,negative
weaksubj,avoidance,n,negative
strongsubj,awe,n,positive
strongsubj,awe,y,positive
strongsubj,awed,n,positive
strongsubj,awesome,n,positive
strongsubj,awesome,y,positive
strongsubj,awesomely,n,positive
strongsubj,awesomeness,n,positive
strongsubj,awestruck,n,positive
strongsubj,awful,n,negative
strongsubj,awful,n,negative
strongsubj,awfully,n,negative
strongsubj,awfulness,y,negative
strongsubj,awfulness,n,negative
strongsubj,awkward,n,negative
strongsubj,awkwardness,n,negative
strongsubj,ax,y,negative
strongsubj,babble,y,negative
strongsubj,baby,n,neutral
strongsubj,baby,n,neutral
weaksubj,back,y,positive
strongsubj,backbite,y,negative
strongsubj,backbiting,n,negative
weaksubj,backbone,n,positive
strongsubj,backward,n,negative
strongsubj,backwardness,n,negative
strongsubj,bad,n,negative
strongsubj,badly,n,negative
strongsubj,baffle,y,negative
strongsubj,baffled,n,negative
strongsubj,bafflement,n,negative
strongsubj,baffling,n,negative
strongsubj,bait,y,negative
weaksubj,balanced,n,positive
strongsubj,balk,y,negative
strongsubj,banal,n,negative
strongsubj,banal,y,negative
strongsubj,banalize,y,negative
strongsubj,bane,n,negative
strongsubj,banish,n,negative
strongsubj,banish,y,negative
strongsubj,banishment,n,negative
weaksubj,bankrupt,n,negative
weaksubj,bankrupt,y,negative
weaksubj,bar,y,negative
strongsubj,barbarian,n,negative
strongsubj,barbarian,n,negative
strongsubj,barbaric,n,negative
strongsubj,barbarically,n,negative
strongsubj,barbarity,n,negative
strongsubj,barbarity,n,negative
strongsubj,barbarous,n,negative
strongsubj,barbarous,y,negative
strongsubj,barbarously,n,negative
weaksubj,barely,y,negative
strongsubj,bargain,n,positive
strongsubj,bargain,n,positive
strongsubj,barren,n,negative
strongsubj,baseless,n,negative
strongsubj,bashful,n,negative
weaksubj,basic,n,positive
weaksubj,basically,n,neutral
weaksubj,bask,y,positive
strongsubj,bastard,y,negative
strongsubj,bastard,n,negative
weaksubj,batons,n,neutral
weaksubj,batons,n,neutral
weaksubj,battered,n,negative
weaksubj,battering,n,negative
weaksubj,battering,n,negative
weaksubj,battle,y,negative
strongsubj,battle-lines,n,negative
strongsubj,battle-lines,n,negative
weaksubj,battlefield,n,negative
strongsubj,battleground,n,negative
strongsubj,battleground,n,negative
strongsubj,batty,n,negative
weaksubj,beacon,n,positive
weaksubj,bearish,n,negative
strongsubj,beast,n,negative
strongsubj,beast,n,negative
strongsubj,beastly,n,negative
strongsubj,beatify,y,positive
strongsubj,beauteous,n,positive
strongsubj,beautiful,n,positive
strongsubj,beautiful,y,positive
strongsubj,beautifully,n,positive
strongsubj,beautify,y,positive
strongsubj,beauty,n,positive
strongsubj,bedlam,n,negative
strongsubj,bedlamite,n,negative
strongsubj,befit,y,positive
strongsubj,befitting,n,positive
strongsubj,befoul,y,negative
strongsubj,befriend,y,positive
strongsubj,beg,y,negative
weaksubj,beggar,n,negative
strongsubj,beggarly,n,negative
strongsubj,begging,n,negative
strongsubj,begging,n,negative
strongsubj,beguile,y,negative
weaksubj,belated,n,negative
strongsubj,belabor,y,negative
strongsubj,beleaguer,y,negative
strongsubj,belie,y,negative
strongsubj,belief,n,neutral
strongsubj,belief,n,neutral
weaksubj,beliefs,n,neutral
weaksubj,beliefs,n,neutral
strongsubj,believable,n,positive
strongsubj,believe,y,neutral
strongsubj,belittle,y,negative
strongsubj,belittled,n,negative
strongsubj,belittling,y,negative
strongsubj,bellicose,n,negative
strongsubj,bellicose,n,negative
strongsubj,belligerence,n,negative
strongsubj,belligerent,n,negative
strongsubj,belligerent,y,negative
strongsubj,belligerently,n,negative
strongsubj,beloved,n,positive
strongsubj,bemoan,y,negative
strongsubj,bemoaning,n,negative
strongsubj,bemused,n,negative
weaksubj,benefactor,n,positive
weaksubj,beneficial,n,positive
strongsubj,beneficent,n,positive
strongsubj,beneficial,y,positive
strongsubj,beneficially,y,positive
strongsubj,beneficiary,n,positive
strongsubj,beneficiary,n,positive
weaksubj,benefit,n,positive
weaksubj,benefit,n,positive
weaksubj,benefits,n,positive
weaksubj,benefits,n,positive
strongsubj,benevolence,n,positive
strongsubj,benevolent,n,positive
weaksubj,benign,n,positive
weaksubj,bent,n,negative
strongsubj,berate,y,negative
strongsubj,bereave,y,negative
strongsubj,bereavement,n,negative
strongsubj,bereft,n,negative
strongsubj,berserk,n,negative
strongsubj,beseech,y,negative
weaksubj,beset,n,negative
strongsubj,besides,y,neutral
weaksubj,besiege,y,negative
strongsubj,besmirch,y,negative
strongsubj,best,y,positive
strongsubj,best-known,n,positive
strongsubj,best-performing,n,positive
weaksubj,best-selling,n,positive
strongsubj,bestial,n,negative
strongsubj,betray,y,negative
strongsubj,betrayal,n,negative
strongsubj,betrayals,n,negative
strongsubj,betrayer,n,negative
strongsubj,better,n,positive
weaksubj,better,y,positive
strongsubj,better-known,n,positive
strongsubj,better-than-expected,n,positive
strongsubj,bewail,y,negative
weaksubj,beware,y,negative
strongsubj,bewilder,y,negative
strongsubj,bewildered,n,negative
strongsubj,bewildering,n,negative
strongsubj,bewildering,n,negative
strongsubj,bewilderingly,n,negative
strongsubj,bewilderment,n,negative
strongsubj,bewitch,y,negative
strongsubj,bias,n,negative
strongsubj,bias,n,negative
strongsubj,bias,y,negative
strongsubj,biased,n,negative
strongsubj,biased,n,negative
strongsubj,biases,n,negative
strongsubj,biases,n,negative
strongsubj,bicker,y,negative
strongsubj,bickering,n,negative
weaksubj,bid-rigging,n,negative
weaksubj,big,n,neutral
strongsubj,bitch,y,negative
strongsubj,bitchy,n,negative
strongsubj,biting,n,negative
strongsubj,bitingly,n,negative
strongsubj,bitter,n,negative
strongsubj,bitterly,n,negative
strongsubj,bitterness,n,negative
strongsubj,bizarre,n,negative
strongsubj,blab,y,negative
strongsubj,blabber,y,negative
weaksubj,black,n,negative
weaksubj,blackmail,y,negative
strongsubj,blah,y,negative
strongsubj,blame,n,negative
strongsubj,blame,n,negative
strongsubj,blame,y,negative
strongsubj,blameless,n,positive
strongsubj,blameworthy,n,negative
strongsubj,bland,n,negative
strongsubj,blandish,y,negative
strongsubj,blaspheme,y,negative
strongsubj,blasphemous,n,negative
strongsubj,blasphemous,y,negative
strongsubj,blasphemy,n,negative
weaksubj,blast,y,negative
strongsubj,blasted,y,negative
strongsubj,blatant,n,negative
strongsubj,blatantly,n,negative
strongsubj,blather,y,negative
strongsubj,bleak,n,negative
strongsubj,bleakly,n,negative
strongsubj,bleakness,n,negative
weaksubj,bleed,y,negative
weaksubj,blemish,n,negative
weaksubj,blemish,y,negative
strongsubj,bless,y,positive
strongsubj,blessing,n,positive
strongsubj,blessing,n,positive
weaksubj,blind,n,negative
strongsubj,blinding,n,negative
strongsubj,blinding,y,negative
strongsubj,blindingly,n,negative
weaksubj,blindness,n,negative
strongsubj,blindside,y,negative
strongsubj,bliss,n,positive
strongsubj,blissful,n,positive
strongsubj,blissfully,n,positive
strongsubj,blister,y,negative
strongsubj,blistering,n,negative
strongsubj,blithe,n,positive
strongsubj,bloated,n,negative
weaksubj,block,n,negative
weaksubj,block,y,negative
strongsubj,blockhead,n,negative
weaksubj,blood,n,neutral
weaksubj,blood,n,negative
strongsubj,bloodshed,n,negative
strongsubj,bloodthirsty,n,negative
weaksubj,bloody,n,negative
weaksubj,bloom,y,positive
weaksubj,blossom,y,positive
weaksubj,blow,n,negative
weaksubj,blow,n,negative
strongsubj,blunder,n,negative
strongsubj,blunder,n,negative
strongsubj,blundering,n,negative
strongsubj,blunders,n,negative
strongsubj,blunt,n,negative
weaksubj,blur,y,negative
strongsubj,blurt,y,negative
strongsubj,boast,y,positive
strongsubj,boast,y,negative
strongsubj,boastful,n,negative
strongsubj,boggle,y,negative
strongsubj,bogus,n,negative
strongsubj,boil,y,negative
strongsubj,boiling,n,negative
strongsubj,boisterous,n,negative
strongsubj,bold,n,positive
strongsubj,boldly,n,positive
strongsubj,boldness,n,positive
strongsubj,bolster,y,positive
weaksubj,bombard,y,negative
weaksubj,bomb,y,negative
strongsubj,bombardment,n,negative
strongsubj,bombardment,n,negative
strongsubj,bombastic,n,negative
strongsubj,bondage,n,negative
strongsubj,bonkers,n,negative
strongsubj,bonkers,n,negative
strongsubj,bonny,n,positive
weaksubj,bonus,n,positive
weaksubj,boom,n,positive
weaksubj,booming,n,positive
weaksubj,boost,n,positive
weaksubj,boost,y,positive
strongsubj,bore,y,negative
strongsubj,boredom,n,negative
strongsubj,boring,n,negative
strongsubj,boring,y,negative
strongsubj,botch,y,negative
strongsubj,bother,n,negative
strongsubj,bother,y,negative
strongsubj,bothersome,n,negative
strongsubj,boundless,n,positive
strongsubj,bountiful,n,positive
strongsubj,bowdlerize,y,negative
weaksubj,boycott,n,negative
weaksubj,boycott,n,negative
strongsubj,brag,n,both
strongsubj,brag,y,both
strongsubj,braggart,y,negative
strongsubj,braggart,n,negative
strongsubj,bragger,y,negative
strongsubj,bragger,n,negative
strongsubj,brains,n,positive
strongsubj,brains,n,positive
strongsubj,brainwash,y,negative
strongsubj,brainy,n,positive
strongsubj,brash,n,negative
strongsubj,brashly,n,negative
strongsubj,brashness,n,negative
strongsubj,brat,n,negative
strongsubj,bravado,n,negative
strongsubj,brave,n,positive
strongsubj,brave,y,positive
strongsubj,bravery,n,positive
strongsubj,bravery,n,positive
strongsubj,brazen,n,negative
strongsubj,brazenly,n,negative
strongsubj,brazenly,n,negative
strongsubj,brazenness,n,negative
strongsubj,brazenness,n,negative
weaksubj,breach,n,negative
weaksubj,breach,n,negative
weaksubj,break,y,negative
strongsubj,break-point,n,negative
strongsubj,break-point,n,negative
weaksubj,breakdown,y,negative
weaksubj,breakthrough,n,positive
weaksubj,breakthrough,n,positive
weaksubj,breakthroughs,n,positive
weaksubj,breakthroughs,n,positive
strongsubj,breathlessness,n,positive
