,Comment,Label
403,Feels great when I can not sleep especially when all I want to do is talk to,0
228,absolutely LOVE coming back to work to a day of nothing but,0
261,Oh damn no more Jersey,0
237,AGood Breakfest was A1,1
386,I do not know why you are always talking about yourself to me Why not ask how I am doing I am doing great thanks for,0
476,Great to see AFC as busy as ever in the transfer,0
36,this day just keeps gettin better n,0
196,morning people roadtrip today unfortunately that means sitting in the car with my family for 3 or 4 hours,0
139,Worst headache of my entire life Can barely even stand up or open my,0
368,hahahahahaha yes Sa eed cos you are the only person I ever think,0
247,Well that was,0
287,Sooo happy to be at,0
378,Love the possibility of weekend work Its what gets me up on a Friday,0
59,You wore your Tom is and brought your dog to Chickabiddy You must be the coolest people in Morehead glad I could see,0
111,threw up and had an anxiety panic attack but apart from that pretty good first,1
89,stressed and school hasnt even,0
266,what a lovely,0
6,Please everyone post a picture of opening ceremony to,0
364,glad I left y all in charge I mean look at all that you got accomplished that we actually needed,0
503,cause blood is fake depending on who your opponent,0
341,neighbors house just burnt,0
158,Abstinence only sex ed dominates in state with highest teen,0
150,I love it whenever my brother gets up and turns on all the,0
177,I just attract all the really awesome,0
397,now for a day at trethorne with a 6 and 2 year old,0
184,There is nothing like a fuel spill to make my morning commute even,0
318,I love how 2 of the most disrespectful girls on the team are captains Just Love,0
10,Awkward eye contact is just,0
384,Really excited about transfer deadline,0
103,I can tell already work is going to be fab,0
81,I love feeling like a second,0
38,Having a driving license without a car is the,0
317,Wow I can see you are really,0
167,Today is going so,0
475,Open ended QE So basically Weimar Republic style monetary policy Good,0
299,Love that my phone,0
296,Yea sure I would love to do some heavy lifting up and downs some stairs in this,0
198,Already a great start to my,0
377,Mum please I am not coming home cos i want to concentrate on my studies this weekend I am trying to get 4 flat For,0
146,Dear Teva thank you for waking me up every few hours by howling Your just trying to be mother natures alarm,0
396,is not it absolutely fantastic that school starts up in four days is not that just fab can not,0
147,Getting a plastic fish thrown at me by a one and a half year old is a great,0
428,today should be,0
289,I just love geometry SOO,0
123,Just sprained my foot happy,0
490,Love working on my last day of,0
96,Just another original apple invention A notification shade Where do they come up with this,0
143,todays going to be,0
239,I always enjoy doctor,0
275,Oh u can ride ur bike with no hands Your so,1
97,Yeah just ignore me That TOTALLY the right way to handle,1
353,South Dakota School of Mines is so good at football shitnobodyatundsays they are division,0
122,Love my,0
183,So excited for,0
202,Yay its pouring rain and I have xc this,0
246,I am so happy we have mature guys at this,0
484,So glad Smithson turned into a,0
301,Soooo housework fun,0
354,So excited for my family hike at 9 freaking o clock in the,0
410,Ah only 2 full years to wait until I can start college not long at,1
399,Got ta take my brother to the cinema,0
286,Yeah I am all about to marry someone serving life in prison Makes perfect,0
125,Yay for an hour and a half of,0
305,I totally enjoy when my managers tell me I look hit all the,0
223,Watch This And if you have some shame left show this on your,0
422,Glad to see NHS holds its title by making us go to school,0
219,Post all your inside jokes over facebook I really want to hear about,0
129,Us freshies are fresher that the rest so watch our,0
424,Wet foggy and dark sounds like a good combination of driving,0
291,In pax river Maryland for work Could it get any better than,0
331,lol watching gay people is so,0
380,We need Mitt Romney running the UK Magically going to cut taxes cut deficit create jobs sort out energy and health,0
480,Walking into work on an overtime day to have to train a new supervisor who looks like your jerky ex is twin makes for an awesome,0
358,My favorite feeling is,0
297,Almost got ran over today while crossing the street with the walk sign I love,0
294,Have almost never not been body checked by security at the,1
370,Love being wide awake at this,0
438,I am guessing the person that invented those mini car vacuums was a parent I can almost guarantee,0
112,when Darth baby will not stop screaming long enough to eat sarcasm Is it Wednesday,0
179,your lucky most of my teachers said I would always have homework,0
310,Just ignore me that is ok,1
342,3 dude eagles scrubs are killing the jets scrubs I am thrilled sarcasm Fri Aug 31 07 08 22 IST,0
333,Time for a 3 hour,0
487,Great time to get,0
457,I always have to contain my grin of absolute joy when my boss tells me I can finish now Yes yes I,0
233,Two classes on the engineering quad Not out of place at,0
314,I love feeling like I am being lied to it is my,0
164,Suns out and I am,1
136,It is the first day of senior year and I am riding the bus to,0
197,Gee wiz what a great day so far You can cut the tension with a knife and they think I am,0
258,I can not even wait to go sit at this meeting at the,0
232,Well that was,0
115,Making dinner will definitely feel,0
120,Olly Riley is so original with his,0
352,Thirsty Thursday is make going to a Friday morning class so much,0
224,wake up to do it all over,0
406,I just love clinicals at this time of,0
340,Do you know what I love Apartment construction at 7 a m 3 mornings in a,0
127,I really like how the rains just gunna mess up my,0
285,JerseyShore is ending You mean I will not be able to watch over paid snotty party animals,1
415,Ever think about something so much it makes you stomach sick No Oh it is just,0
107,Yes annoying hotel guests please take your pet elephant for a walk Outside the room at 4am when normal people are trying to,0
374,duh nigga I text u even tho u do not reply that is deep fine nes just can not simp like them other 67,0
449,WOOO getting your blood drawn is so much,0
133,Yeah of course play some bass guitar when I am lying in bed with a head ache,1
367,Get the fxck out lol I like them cyber thugs Lol they,0
44,My husband has two days off from work We are spending it in the the,1
495,Oh so that is how you brew beer thanks,0
65,I am ending my summer off great sitting inside all day doing,0
283,Whoever voted for Rob Ford as mayor must be so very happy with our city how our city is being represented be him his,0
85,I love being able to not fall,0
242,Miley Cyrus quotes the Buddha Wow is not she a dedicated Christian just like she always,0
186,cleaning the car is sooo,0
425,if you are a terrorist with an AK47 then you get death pen what these guys did did not cause enough,0
159,Well that is great Five hours of,0
12,I love when I see people using the elevator at the,0
35,I love when people favorite a tweet but dont,0
28,right cuz i twitter stalked u and purposly tweeted this cuz i wan na be just like,0
170,so nice of morons to come to your twitter account and spread their ignorant shit all over it,0
142,Oh yeah Keep blasting call me maybe on the,1
402,I love Friday morning,0
349,Being covered in hives is so,0
221,Hey it is time to get all,1
95,packing is so much,0
51,My anatomy teacher decided that its the first day so lets stay in class for the entire 4 hours,0
240,That 100 degree heat index made that one of my most enjoyable runs to,0
376,Stay up til 2 to talk to you for 30 seconds how sweet of,0
382,Throwing ice at people because they need to,0
178,Morning classes are my favesiessssss Good thing there is a French kid in my class to entertain,0
41,Holy Hannah This week is going to be just,0
440,Got ta love getting up early on your two days off and doing harder work then normal without bieng,0
391,Got ta love working till 5 am on a 15 hour,0
206,Oh no it is okay I would love to just sit around waiting in financial aid all day because its not like I have anything else to,0
282,So glad I am retaking physics It is even more fun the second time around Asian Accents are so easy to,0
254,Cool lets not fix the things you do not need parts for and do not tell me we need to order other,0
416,oh and yay work directly after all my,0
4,Ca not wait to go to class,0
256,I can not even describe how excited I am to go cook noodles for 3,0
453,How good I look when I wake up look like I just got hit by a,0
100,Luv walkin up 20 flights of stairs just 2 get 2,0
226,Having chemistry ever day is going to be soo much,0
431,Lights turning off while I was in the shower not scared or,0
213,Im glad my friends talk to,0
426,Would you like a medal for that Here you go We are all so proud of,0
171,Nothing like waking up at 7 for a good ol Doctors,0
98,I should sleep I have an early class tomorrow Fan tastic,0
292,and the final textbook total plus tax comes to just under,0
215,Absolutely love when water is spilt on my phone Just love,0
61,Soo excited to try to sleep with my back,0
47,I love when I am doing dishes at work the water spills all over me its the,1
32,Awsome homework on the first day That is just what I,0
267,I really like walking around with 2 diff color flops casue my mom packs mine and says their,0
327,Please keep rubbing it in I love,1
200,Have you ever been so cool that the only way you know how to park your car is by backing it into a parking,0
451,I love waking up to shit like that Today is already not starting off,0
27,There is no gun problem in this,0
393,All this AND the Europa League draw today Ahhh,0
230,the first day I have ever been to UT and G10 lot was full What a pain I the ass to find,0
260,No Sitting in a full waiting room wearing a three sizes too big hospital gown is not the worst thing to happen to me,0
288,Making friends solely based on our shared interest in sarcasm Basically going to be best,1
162,Wow algebra is the best way to start off my,0
429,Getting pulled over is a great way to start my,0
138,I love having a runny nose No really this is just what I,0
62,Thanks for the option of high speed internet at 5 a month or 6 months free to save 0 30 depending on the,1
135,double p e now loving,0
128,I just love waking up being yelled at what a lovely,1
482,So excited that my sister and her boyfriend are back,0
8,thank god it is raining so now my hair will look fabulous for my senior,0
326,This weekend is going to fucking,1
469,Dear Arkansas could you possible make it even,0
64,Say thanks to the girl that fucked us,0
300,I love the,0
14,Does not everyone love getting allergy shots once a,0
156,Lots of windshield time today can not,0
40,I love waiting in long lines for a parking,0
379,Wow its feels nice to be,1
465,Oh Great another shooting Thank you NRA for these Guns to Protect,0
407,Looking forward to school kids going back to school next week,0
216,first day of,0
279,Wettest summer in 100years really You never would of,0
439,you must be a redneck if your twitter profile pic is you with a cowboy hat,0
504,can not wait to listen to a presentation about the history of Culver,0
337,Thanks Isaac for making our first pep rally and home football game get,1
236,Mega shark vs giant octopus How did this film not win an,0
207,Agh i only got 5 hours of sleep last night fee night is tonight so im going to look a mess Great way to start off the school,0
212,Visit to the dentist and changing a flat two of my favorite things in one morning Talk about stars,0
295,Time for soccer practice so much,0
462,I love waking to everyone being rude to me Today is going to be,0
251,Back to sleeping in the lorry all,0
494,Bronchitis ear infection and a fever Makes for a great start to my labor day,0
464,Time to get ready,0
303,Realizing that you only shaved one,0
350,I love getting yelled at It is the best feeling Guess children do everything,0
269,Every 3 year old needs a Facebook or a Twitter Because they really care about,0
201,I love the fact that my mom woke me,0
161,It feels great to know my car is on E and gas is 4 bucks a,0
43,I am boutta Jus get tatted Forreal now Lmao Sike,0
217,I like going to chem and learning about,0
401,Love waking up super,0
190,Wooow these girls are talking about smoking your so,0
309,The campus police here at USI are so friendly They left me a nice little present on my,0
259,Going in to work for 2 hours was totally worth the 35 min,0
105,Greaaaaaat Jus wat we need The drought in the United States is likely to push food up prices in South,0
53,I just love freaking being ignored and not texted back 3 people ignored me today 3 I love it it always makes my,0
389,Love waking up in the middle of the,0
1,Hmm what to work on today I HI or EE They both sound like oh so much,0
446,Yeah my thumb is fine thanks mum and I am so happy that you feel going for a walk is more important than preparing me for sixth,0
488,Back to the oral,0
49,Make sure you take a really long time to text me,0
419,If I ever need a brain transplant I would choose yours because I would want a brain that had never been,0
80,I just love it when people do not text me,0
205,Haha wow it is amazing how some seniors can leave after fourth,0
34,Yep that rapping guy TOTALLY makes me want to go to your,0
430,Physical therapy again,0
263,so we trend DirectionersLoveBeliebers and they trend BeliebersHateDirectioners what a lovely fanbase they have,0
427,It is great when you are mom wakes you up just to yell at me then she yells at me the entire,0
366,Best part of being a new mom unwarranted condescending advice from,0
91,Osteo time this is going to be,0
339,Time to go to my 9 45 physics lab,0
479,I just love getting a random schedule change and not even knowing about,0
52,Curled up in a ball listening to slow and sad music love spending my nights like,0
345,Guys School I about to start Guys school is going to,0
264,RIP Jerseyshore how u will be missed,0
241,LOL getting called uneducated by someone who can not spell isense or,0
13,Lets all live life like a taylor swift album Learn some serious life,0
315,u mean like real Madrid is the best team,0
88,So glad i am losing sleep over someone I barely,0
387,on my birthday waiting for a met to go to theory,0
273,can not wait to make this 10 min walk to class to sit and listen to my bob barker lookin ass Prof talk for an hour,0
166,I always know its going to be a good day when I wake up late and literally have 10 minutes to get,0
328,they cancelled Jersey Shore wow what am I going to do,0
498,Good job student finance is on top of things as,1
134,when you get cheated on the first thing you should do is take them on Jeremy Kyle obviously that is the logical,0
306,Homework is so,0
486,Those dreams were beyond f ed up last,0
319,I love doing 90 and 100 yard sprints just for warmups in,0
243,I am glad I pay a shit ton of money to come to this school and do absolutely nothing all,0
54,absolutely delighted to still be awake at this,0
363,No really I can sleep quite well while I am,1
50,Cowboy boots and shorts,0
461,Yayy I have my English class from 9 00 to 12 30 today This is going to be,0
174,Weed wippin in the rain and lightning Always fun and not,0
445,I think I have food poisoning,0
189,Ca not think of a better way to start off my day than with a 8am microbiology,0
502,Please call your skinny self fat one more,0
463,ooooh that helped,0
187,I just love getting up this early to go into,0
169,6 a m lifting right to 8 a m classes got ta love,0
58,I am glad everyone in my house is in such a great,0
48,Yeah mom and dad I love you,0
344,Being the third wheel is so much fun no,0
235,Oversleeping for my 9 o clock class and chapel then waking up with a huge,0
252,I hate it when I do not forward a chain mail and I die the next,0
21,In a shocking upset it rained today at grove city,0
313,Washing clothes fun,0
459,A day of class and a night at,0
160,Great way to start the morning by dumping makeup all over,1
276,I looove how celebs show so much tolerance and,0
443,Straightened my hair and its already curling and I have not even went Outside,0
191,Got ta love spending lunch break queuing at the,0
385,My first head cold in I do not remember how long Which is awesome timing as I have so much energy to,0
293,its amazing how much i cant stand edinboro and its professors right,0
413,My favourite pre work job fixing a punctured bike,0
343,Yay for an 8am class on,0
257,So exhausted It was tough only having one class,1
308,Off to soccer practice could hell week be any more,1
149,Woooooow that just puts me in a great,0
130,hand it to Apple the kernel panic screen looks AMAZING on,0
151,Man I love being up,0
359,Oh wow do not I feel loved Not in the mood for this day,0
99,Really need a fag but have not got,1
372,I use sarcasm to tell people the truth yet they never really know since I only speak,0
87,20 minutes of laundry at 1 am,0
458,Two tests one right after the,0
330,I fucking love,0
214,Yay for 3 hour chem,0
466,pffffft Ya right and I am related to,1
121,Well that was a brilliant attempt at,1
505,I love the sight of media trucks rolling up to campus on a Friday,0
20,Come home to any empty house no,0
188,Going from one babysitting job to another babysitting job then another babysitting job today This will be,0
71,Well that was fun but not,0
106,I am really happy my kindle chose the day before I go on holiday to,0
270,well I was not on a bout you anyway and thanks for telling me all about ur amazing,0
348,I love that im wide awake with him sound asleep next to,0
435,I love when i am running late and other drivers want to drive the speed,0
102,Having to go to college today to enroll for the second,0
